stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,coordinate_status
SNCF:ST:87193169,Brettnach Centre,49.258002,6.563811,1,0,outside_pdl_bbox
SNCF:ST:87193177,Bouzonville,49.289971,6.529373,1,0,outside_pdl_bbox
SNCF:ST:87193219,Merten Centre,49.248706,6.661799,1,0,outside_pdl_bbox
SNCF:ST:87193250,Béning-lès-Saint-Avold,49.138059,6.828486,1,0,outside_pdl_bbox
SNCF:ST:87193276,Hombourg-Haut,49.126105,6.774264,1,0,outside_pdl_bbox
SNCF:ST:87193318,Saint-Avold,49.085875,6.720611,1,0,outside_pdl_bbox
SNCF:ST:87193342,Teting-sur-Nied,49.051602,6.664628,1,0,outside_pdl_bbox
SNCF:ST:87193359,Faulquemont,49.045387,6.603746,1,0,outside_pdl_bbox
SNCF:ST:87193383,Herny,49.003634,6.476851,1,0,outside_pdl_bbox
SNCF:ST:87193508,Theding Allée de la Forêt,49.117958,6.889287,1,0,outside_pdl_bbox
SNCF:ST:87193516,Farébersviller,49.118161,6.861895,1,0,outside_pdl_bbox
SNCF:ST:87193524,Farschviller,49.087881,6.908079,1,0,outside_pdl_bbox
SNCF:ST:87193532,Diebling Centre,49.109151,6.939963,1,0,outside_pdl_bbox
SNCF:ST:87193540,Hundling Hôtel de Ville,49.106646,6.977537,1,0,outside_pdl_bbox
SNCF:ST:87193557,Metzing Centre,49.105861,6.957135,1,0,outside_pdl_bbox
SNCF:ST:87193565,Ippling Rue de Sarreguemines,49.106355,7.004904,1,0,outside_pdl_bbox
SNCF:ST:87193607,Welferding Cimetière,49.112595,7.046194,1,0,outside_pdl_bbox
SNCF:ST:87193615,Sarreguemines,49.107381,7.068574,1,0,outside_pdl_bbox
SNCF:ST:87193664,Kalhausen Gare,49.035033,7.125432,1,0,outside_pdl_bbox
SNCF:ST:87193771,Woelfling-lès-Sarreguemines,49.094747,7.190612,1,0,outside_pdl_bbox
SNCF:ST:87193789,Rohrbach-lès-Bitche,49.054266,7.262187,1,0,outside_pdl_bbox
SNCF:ST:87193797,Petit-Réderching,49.049318,7.299727,1,0,outside_pdl_bbox
SNCF:ST:87193821,Bitche Ancienne Gare,49.048721,7.43215,1,0,outside_pdl_bbox
SNCF:ST:87193839,Bitche Camp,49.04892,7.476051,1,0,outside_pdl_bbox
SNCF:ST:87194001,Longwy,49.512999,5.769567,1,0,outside_pdl_bbox
SNCF:ST:87194019,Ebring Croisement,49.117007,6.910937,1,0,outside_pdl_bbox
SNCF:ST:87194209,Montmédy,49.52288,5.371671,1,0,outside_pdl_bbox
SNCF:ST:87194274,Longuyon,49.444411,5.604551,1,0,outside_pdl_bbox
SNCF:ST:87194357,Audun-le-Roman,49.366824,5.89139,1,0,outside_pdl_bbox
SNCF:ST:87194449,Réhon La Chapelle,49.508631,5.755591,1,0,outside_pdl_bbox
SNCF:ST:87194456,Cons-la-Grandville Centre,49.48402,5.701715,1,0,outside_pdl_bbox
SNCF:ST:87194480,Montigny-sur-Chiers la Roche,49.476407,5.657518,1,0,outside_pdl_bbox
SNCF:ST:87194498,Viviers-sur-Chiers Mairie,49.471248,5.632917,1,0,outside_pdl_bbox
SNCF:ST:87199604,Gros-Réderching,49.068032,7.219654,1,0,outside_pdl_bbox
SNCF:ST:87199612,Reyersviller Schwangerbach,49.032543,7.408586,1,0,outside_pdl_bbox
SNCF:ST:87199620,Destry Centre,48.943418,6.58465,1,0,outside_pdl_bbox
SNCF:ST:87208553,Casino Lacroix Laval,45.787899,4.730912,1,0,outside_pdl_bbox
SNCF:ST:87212027,Strasbourg,48.584532,7.734798,1,0,outside_pdl_bbox
SNCF:ST:87212100,Mundolsheim,48.644773,7.72139,1,0,outside_pdl_bbox
SNCF:ST:87212118,Vendenheim,48.665921,7.717772,1,0,outside_pdl_bbox
SNCF:ST:87212126,Stephansfeld,48.717585,7.704595,1,0,outside_pdl_bbox
SNCF:ST:87212134,Brumath,48.733081,7.700422,1,0,outside_pdl_bbox
SNCF:ST:87212142,Mommenheim,48.755955,7.642304,1,0,outside_pdl_bbox
SNCF:ST:87212159,Schwindratzheim,48.753658,7.600599,1,0,outside_pdl_bbox
SNCF:ST:87212167,Hochfelden,48.755416,7.572275,1,0,outside_pdl_bbox
SNCF:ST:87212175,Wilwisheim,48.745881,7.50784,1,0,outside_pdl_bbox
SNCF:ST:87212183,Dettwiller,48.751916,7.465083,1,0,outside_pdl_bbox
SNCF:ST:87212191,Strasbourg Roethig,48.563309,7.694846,1,0,outside_pdl_bbox
